latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
41.1527698,-73.745912,2021,6.343209877,70.04938272,243,43.41777778
41.1527698,-73.745912,2022,6.684773663,70.04526749,243,44.03259259
41.1527698,-73.745912,2023,7.28600823,69.86419753,243,45.11481481
41.1527698,-73.745912,2024,7.02704918,72.91393443,244,44.64868852
41.1527698,-73.745912,2025,6.317283951,66.85185185,243,43.37111111
41.1527698,-73.745912,2026,1.982580645,68.60645161,155,35.56864516
41.1547851,-74.0247721,2010,5.935802469,70.64609053,243,42.68444444
41.1547851,-74.0247721,2011,4.788888889,71.17695473,243,40.62
41.1547851,-74.0247721,2012,7.555327869,70.49590164,244,45.59959016
41.1547851,-74.0247721,2013,5.304526749,71.63786008,243,41.54814815
41.1547851,-74.0247721,2014,3.86255144,69.58847737,243,38.95259259
41.1547851,-74.0247721,2015,4.03909465,69.38271605,243,39.27037037
41.1547851,-74.0247721,2016,6.971721311,69.34836066,244,44.54909836
41.1547851,-74.0247721,2017,6.280658436,70.61728395,243,43.30518519
41.1547851,-74.0247721,2018,5.824279835,69.71604938,243,42.4837037
41.1547851,-74.0247721,2019,5.581893004,70.30864198,243,42.04740741
41.1547851,-74.0247721,2020,6.192622951,69.72131148,244,43.14672131
41.1547851,-74.0247721,2021,6.368312757,68.81069959,243,43.46296296
41.1547851,-74.0247721,2022,6.697942387,68.7037037,243,44.0562963
41.1547851,-74.0247721,2023,7.326748971,67.62139918,243,45.18814815
41.1547851,-74.0247721,2024,7.060655738,71.80737705,244,44.70918033
41.1547851,-74.0247721,2025,6.322222222,66.76954733,243,43.38
41.1547851,-74.0247721,2026,1.961290323,68.71612903,155,35.53032258
41.4024096,-74.3062522,2010,5.765843621,71,243,42.37851852
41.4024096,-74.3062522,2011,4.64691358,71.27572016,243,40.36444444
41.4024096,-74.3062522,2012,7.482377049,69.84016393,244,45.46827869
41.4024096,-74.3062522,2013,5.13744856,71.24691358,243,41.24740741
41.4024096,-74.3062522,2014,3.630864198,69.25514403,243,38.53555556
41.4024096,-74.3062522,2015,3.971193416,68.44444444,243,39.14814815
41.4024096,-74.3062522,2016,6.948360656,68.18442623,244,44.50704918
41.4024096,-74.3062522,2017,6.004115226,70.66666667,243,42.80740741
41.4024096,-74.3062522,2018,5.311111111,69.88888889,243,41.56
41.4024096,-74.3062522,2019,5.161316872,70.57613169,243,41.29037037
41.4024096,-74.3062522,2020,5.761885246,69.69262295,244,42.37139344
41.4024096,-74.3062522,2021,5.886831276,69.83127572,243,42.5962963
41.4024096,-74.3062522,2022,6.042798354,69.82716049,243,42.87703704
41.4024096,-74.3062522,2023,6.765843621,68.67078189,243,44.17851852
41.4024096,-74.3062522,2024,6.822540984,72.54098361,244,44.28057377
41.4024096,-74.3062522,2025,5.93744856,66.39506173,243,42.68740741
41.4024096,-74.3062522,2026,1.474193548,69.21290323,155,34.65354839
41.4351,-73.7949,2010,4.998765432,70.65020576,243,40.99777778
41.4351,-73.7949,2011,3.746090535,71.4526749,243,38.74296296
41.4351,-73.7949,2012,6.605737705,70.32377049,244,43.89032787
41.4351,-73.7949,2013,4.304526749,71.70781893,243,39.74814815
41.4351,-73.7949,2014,2.8781893,69.67078189,243,37.18074074
41.4351,-73.7949,2015,3.086831276,69.28395062,243,37.5562963
41.4351,-73.7949,2016,6.031557377,68.99180328,244,42.85680328
41.4351,-73.7949,2017,5.348559671,71.50617284,243,41.62740741
41.4351,-73.7949,2018,4.811522634,72.43621399,243,40.66074074
41.4351,-73.7949,2019,4.603292181,72,243,40.28592593
41.4351,-73.7949,2020,5.240983607,71.48360656,244,41.43377049
41.4351,-73.7949,2021,5.416460905,70.9382716,243,41.74962963
